rank,product,brand,rating,feature,rec_type,category,review
7702,AHC 하이드로 B5 수더 30ml ,AHC,4.7, 민감성,민감성,에센스,99
7703,오리진스 닥터 와일 메가 머쉬룸 어드밴스드 페이스 세럼 50ml ,오리진스,4.8, ,모든피부용,에센스,136
7704,한스킨 세라마이드 크리미 에센스 300ml ,한스킨,4.8, 촉촉함(수분공급),저자극,에센스,136
7705,쌍빠 프로디갈 펜 6ml ,쌍빠,4.7," 중건성, 복합, 지성, 민감성",6ml(g),에센스,13
7706,루이첼 28데이즈 컨센트레이트 스네일 앰플 ,잇츠한불,4.8, 촉촉함(수분공급),"피부투명, 화이트닝, 유수분밸런스조절, 피부탄력, 영양공급",에센스,134
7707,어퓨 빙하수 수분 앰플 30ml ,어퓨,5, 촉촉함(수분공급),"피부강화, 피부탄력, 영양공급",에센스,2
7708,닥터유앤미 더마액티브 오토파지 시스템 화이트닝 앰플 15ml ,한솔생명과학,4.5, 촉촉함(수분공급),"화이트닝, 영양공급",에센스,11
7709,나인위시스 세이지 캡슐 에센스 30ml ,나인위시스,4.3, 촉촉함(수분공급),촉촉함(수분공급),에센스,23
7710,시크릿키 스타팅 트리트먼트 에센스 로즈 에디션 150ml ,시크릿키,4.9, 화이트닝,화이트닝,에센스,19
7711,미바 리뉴얼 미네랑스 아이링클 스팟앰플 55ml ,미바,4.6, 촉촉함(수분공급),피부투명,에센스,5
7712,마티덤 포토 에이지 2ml x 10앰플 ,마티덤,4.7, 촉촉함(수분공급),피부탄력,에센스,6
7713,씨라클 안티 링클 드라마 에센스 30ml(건성) ,씨라클,4.6, ,모든피부용,에센스,16
7714,클라란스 멀티 액티브 스킨 리뉴얼 세럼 30ml ,클라란스,4.5, ,모든피부용,에센스,110
7715,메트리콜 파워 릴리즈 액티브 솔루션 150ml ,메트리콜,4.3, 화이트닝,화이트닝,에센스,13
7716,라네즈 미니 포어 싱글 드롭 스킨 릴리프 15ml ,아모레퍼시픽,4.4, 촉촉함(수분공급),촉촉함(수분공급),에센스,15
