rank,product,brand_date,rating,price,category,review
154,씨씨콜렉트 더블 버튼 루즈핏 벨티드 코트 C194MSG574 ,대현,4.5,"295,060",코트,71
155,지오다노 여 초경량 크루넥 숏자켓 379905 ,지오다노,4.7,"46,920",재킷,296
156,사가폭스 울 100 핸드메이드 코트 DG THH19DW10 ,2019.11.,4.7,"91,360",코트,47
157,겨울 밴딩 부츠컷 레깅스 융 밍크 기모 바지 ,2019.10.,4.4,"19,900",바지,448
158,체리맛 니트티 ,2019.11.,4.5,"24,300",니트/스웨터,36
159,나이스크랍 럭키 롱 코트 N194XWCA46 ,롯데지에프알,4.9,"164,560",코트,10
160,라씨엔토 라쿤 100 풀오버 ,2019.10.,4.9,"91,010",니트/스웨터,49
161,루나코어스 폭스 풀스킨 컬러 FAUX 무스탕 ,루나코어스,4.8,"165,540",재킷,8
162,에이앤디 19 Winter 벨벳 푸퍼 패딩 ,2019.10.,4.8,"35,520",점퍼,123
163,가을부터 겨울까지 니트 롱스커트 5컬러 ,2019.09.,4.5,"19,000",스커트,"4,045"
164,지오다노 여 초경량 퀼팅 숏자켓379907 ,지오다노,3.8,"46,400",점퍼,4
165,메이썸 프리미엄 구스 롱 다운 ,메이썸,4.6,"125,928",점퍼,70
166,로엠 슈가템 폭스퍼 다운 여성형 파카 RMJD94V02A ,로엠,4.8,"161,100",점퍼,18
167,써스데이아일랜드 슬림 베이직 롱 다운 점퍼 T188MDJ238W ,지엔코,4.9,"171,040",점퍼,8
168,조르쥬레쉬 조르쥬 레쉬 조르쥬 레쉬 울 블렌디드 핸드메이드 벨티드 롱코트 ,조르쥬레쉬,4.8,"80,910",코트,375
169,타미힐피거 여성 코듀로이 빅 플래그 숏 패딩 자켓 T31J9WJC045WT1 ,타미힐피거,4.4,"233,630",점퍼,17
170,A G 엣지 Made in Italy 캐시50 홀가 니트 풀오버 ,2019.12.,4.4,"93,630",니트/스웨터,46
171,비비안웨스트우드 여성 로고 가디건 ,비비안웨스트우드,4.8,"139,000",카디건,77
172,나이스크랍 러저 롱 심플코트 N194XWCA41 ,롯데지에프알,4.4,"146,660",코트,16
173,지오다노 여 크루넥 경량다운 베스트 378903 ,지오다노,4.6,"20,710",조끼,"1,419"
174,1 1무배 두장가격 4컬러 FREE-XL 히트텍 후끈 사방스판 쫀쫀레깅스 ,2019.10.,4.3,"13,900",레깅스,544
175,도톰 골지 니트 와이드 팬츠 ,2019.11.,4.5,"16,900",바지,178
176,빈폴 레이디스 애쉬 A라인 폭스퍼 소피 다운 점퍼 BF9X38U064 ,삼성물산,5,"509,733",점퍼,7
177,게스 19FW 남녀공용 심리스 다운 롱패딩 MJ4W9896 ,게스,4.7,"87,210",점퍼,29
178,나이스크랍 루즈핏 세일러 카라 모직코트 A194PWCA03 ,나이스크랍,4.8,"142,325",코트,6
179,포근 데일리 파스텔 양기모 맨투맨 ,2019.11.,4.6,"15,700",티셔츠,177
180,폴햄 공용 롱패딩 3종택 1 3070 PHY4JP2030 3060 ,에이션패션,4.5,"77,340",점퍼,56
181,의사가운 이름자수무료 약사가운 실험가운 ,2019.12.,4.5,"14,070",유니폼/단체복,"1,075"
182,터틀 골지 목폴라 니트티 ,2019.11.,4.6,"18,900",니트/스웨터,75
183,J by Winter19 12골 코튼 코듀로이팬츠3종 ,2019.09.,4.8,"70,310",바지,56
184,훼르자 미나 히말라야 에어볼 FLEX 롱패딩 FUS-29982 ,훼르자,4.8,"44,910",점퍼,94
185,반에이크 퍼카라무스탕 숏 패딩 VA9ZPDMD01Z ,미도컴퍼니,4.5,"63,080",점퍼,26
186,씨씨콜렉트 울 캐시미어 루즈핏 롱코트 패딩베스트세트 C184MSG752 ,대현,4.5,"89,000",코트,260
187,벨벳 웰론 오버핏 커플 남녀공용 숏패딩 11컬러 ,2019.10.,4.7,"46,800",점퍼,67
188,체온상승 반목 골지니트티 ,2019.10.,4.2,"13,600",니트/스웨터,987
189,나이키 스포츠웨어 헤리티지 플러시 팬츠 BV5036-010 ,나이키,4.9,"73,290",트레이닝복,11
190,탑걸 폭스퍼 버클벨트 덕다운 패딩 TJDADU902F ,연승어패럴,4.8,"167,010",점퍼,26
191,오플 셀렙샵 에디션 19FW 헝가리 구스다운 ,2019.10.,4.7,"282,620",점퍼,287
192,닉스 여성 라운드넥 숏기장 구스 초경량 다운점퍼 FNMWCUW511M ,케이브랜즈,4.6,"26,040",점퍼,118
193,아이보리 겨울본딩기모 세미부츠컷팬츠 ,2019.10.,4.4,"16,900",바지,204
194,나이스크랍 럭키 롱 코트 N194XWCA58 ,나이스크랍,4.5,"158,360",코트,15
